sample	Observed diversity	Shannon-Wiener diversity	Normalized Shannon-Wiener index	Inverse Simpson index	Gini index	Chao1 estimate	Efron-Thisted estimate	d50
P14-M1-DNEG.clns	429.0	429.0	1.0	429.0	1.0023310023310024	92235.0	9009.0	73.0
P14-M1-DPOS.clns	215.0	214.99999999999991	1.0	215.0	1.0046511627906978	23220.0	860.0	38.0
P14-M1-PD1.clns	433.0	432.99999999999994	1.0	433.0	1.002309468822171	93961.0	9093.0	88.0
P14-M1-TIGIT.clns	97.0	97.0	1.0	97.0	1.0103092783505154	4753.0	194.0	16.0
P14-M2-DNEG.clns	1111.0	1111.0000000000005	1.0	1111.0	1.0009000900090008	617716.0	23331.0	159.0
P14-M2-DPOS.clns	812.0	812.0	1.0	812.0	1.001231527093596	330078.0	17052.0	57.0
P14-M2-PD1.clns	704.0	703.9999999999999	1.0	704.0	1.0014204545454546	248160.0	14784.0	22.0
P14-M2-TIGIT.clns	520.0	520.0	1.0	520.0	1.001923076923077	135460.0	10920.0	43.0
P14-T0-DNEG.clns	474.0	473.9999999999998	0.9999999999999999	474.0000000000001	1.0021097046413503	112575.0	9954.0	104.0
P14-T0-DPOS.clns	294.0	293.99999999999994	1.0	294.0	1.0034013605442176	43365.0	2352.0	18.0
P14-T0-PD1.clns	98.0	97.99999999999996	0.9999999999999998	98.00000000000003	1.010204081632653	4851.0	196.0	11.0
P14-T0-TIGIT.clns	249.0	248.99999999999972	0.9999999999999999	249.00000000000009	1.0040160642570282	31125.0	1245.0	24.0
P15-M1-DNEG.clns	280.0	279.9999999999999	1.0	280.0	1.0035714285714286	39340.0	1960.0	42.0
